Ethnicity,hoursAerobic
southasian,5.0
white,5.0
white,1.0
southasian,1.0
southasian,0.0
white,1.0
southasian,3.0
southasian,4.0
southasian,2.0
southasian,3.5
white,3.0
white,2.0
southasian,0.0
white,2.0
southasian,0.0
southasian,2.0
southasian,8.0
southasian,0.0
white,2.0
southasian,0.0
southasian,2.0
southasian,10.0
white,1.0
southasian,4.0
southasian,6.5
southasian,0.0
southasian,2.0
southasian,4.0
southasian,1.0
white,1.0
white,2.0
white,5.0
white,0.0
southasian,0.0
southasian,0.0
white,6.0
southasian,0.0
white,3.0
white,0.0
white,5.0
southasian,0.0
southasian,1.0
white,1.5
